Título do artigo,Link,Onde foi encontrado,Status,PDF Download,Relevância
"Autenticação de Usuários na Web 3.0: Um Estudo sobre Mecanismos Descentralizados com Blockchain",https://sol.sbc.org.br/index.php/latinoware/article/view/31559,Google Scholar,Leitura avançada,Sim,Muito alta
"Estudo sobre mecanismo de autenticação descentralizado",https://eventos.ifrs.edu.br/index.php/Salao/SICT2016/paper/view/568,Google Scholar,Leitura inicial,Sim,Alta
Fundamentos e Aplicações da Blockchain: Um Estudo de Caso em Autenticidade,https://repositorio.ufsc.br/handle/123456789/270556,Google Scholar,Leitura inicial,Sim,Muito baixa
"IDENTIDADE DIGITAL NA BLOCKCHAIN",https://publicacoes.ifc.edu.br/index.php/fetec/article/view/7471,Google Scholar,Leitura inicial,Sim,Média
"Blockchain como alternativa para autenticação e controle de acesso em internet das coisas",https://repositorio.ufc.br/handle/riufc/39462,Google Scholar,Leitura inicial,Sim,Baixa
"A Secure and Decentralized Authentication Mechanism Based on Web 3.0 and Ethereum Blockchain Technology",https://www.mdpi.com/2076-3417/13/4/2231,Google Scholar,Leitura inicial,Sim,Muito alta
"Web3 Chain Authentication and AuthorizationSecurity Standard (CAA)",https://www.researchgate.net/profile/Nilesh-Sable/publication/374127372_Web3_Chain_Authentication_and_Authorization_Security_Standard_CAA/links/6570022cfd4c91437ba87f55/Web3-Chain-Authentication-and-Authorization-Security-Standard-CAA.pdf,Google Scholar,Leitura inicial,Sim,Muito alta
"BCTrust: A decentralized authentication blockchain-based mechanism",https://ieeexplore.ieee.org/abstract/document/8376948,IEEE,Não iniciado,Não,
"Bubbles of Trust: A decentralized blockchain-based authentication system for IoT
",https://www.sciencedirect.com/science/article/abs/pii/S0167404818300890,Google Scholar,Leitura inicial,Sim,Alta
"Blockchain-Based Decentralized Authentication Modeling Scheme in Edge and IoT Environment",https://ieeexplore.ieee.org/abstract/document/9257454,IEEE,Não iniciado,Não,
"A Blockchain Based Decentralized Authentication Framework for Resource Constrained IOT devices",https://ieeexplore.ieee.org/abstract/document/8944637,IEEE,Não iniciado,Não,
DecAuth: Decentralized Authentication Scheme for IoT Device Using Ethereum Blockchain,https://ieeexplore.ieee.org/abstract/document/8929720,IEEE,Não iniciado,Não,
